antecedents,consequents,support,confidence,lift
Murgh Amritsari Seekh Pide,Mutton Seekh Pide,0.003283148069977956,0.11965811965811966,9.177089097952408
Mutton Seekh Pide,Murgh Amritsari Seekh Pide,0.003283148069977956,0.2517985611510791,9.177089097952406
Grilled Chicken Smoky BBQ Tender,Grilled Chicken Jamaican Tender,0.0030017353782655597,0.16537467700258396,6.089729686307587
Grilled Chicken Jamaican Tender,Grilled Chicken Smoky BBQ Tender,0.0030017353782655597,0.11053540587219343,6.089729686307587
Murgh Amritsari Seekh Melt,Jamaican Chicken Melt,0.007363632099807701,0.30724070450097846,5.706166429151012
Jamaican Chicken Melt,Murgh Amritsari Seekh Melt,0.007363632099807701,0.1367595818815331,5.706166429151011
Angara Paneer Melt,Mushroom Mozzarella Melt,0.003892875568688148,0.12462462462462463,4.985218802291973
Mushroom Mozzarella Melt,Angara Paneer Melt,0.003892875568688148,0.15572232645403378,4.985218802291973
Fried Chicken Peri Peri Tender,Animal Fries,0.0033769523005487546,0.12926391382405744,3.739533116204517
Animal Fries,Fried Chicken Peri Peri Tender,0.0033769523005487546,0.09769335142469471,3.7395331162045164
Bone in Peri Peri Grilled Chicken,Bone in Jamaican Grilled Chicken,0.007551240560949299,0.27241962774957706,3.5611642447876966
Bone in Jamaican Grilled Chicken,Bone in Peri Peri Grilled Chicken,0.007551240560949299,0.09871244635193134,3.5611642447876957
Bone in Jamaican Grilled Chicken,Bone in Angara Grilled Chicken,0.004408798836827541,0.05763335377069283,2.7613499679661615
Bone in Angara Grilled Chicken,Bone in Jamaican Grilled Chicken,0.004408798836827541,0.21123595505617979,2.7613499679661615
Bone in Jamaican Grilled Chicken,Bone in Smoky Bbq Grilled Chicken,0.0072698278692369025,0.09503372164316372,2.756753713134549
Bone in Smoky Bbq Grilled Chicken,Bone in Jamaican Grilled Chicken,0.0072698278692369025,0.21088435374149658,2.7567537131345485
Bone in Kabuli Grilled Chicken,Bone in Jamaican Grilled Chicken,0.004361896721542142,0.18979591836734694,2.481078341821094
Bone in Jamaican Grilled Chicken,Bone in Kabuli Grilled Chicken,0.004361896721542142,0.05702023298589823,2.481078341821094
Makhani Paneer Pizza,Peri Peri Paneer Pizza,0.004784015759110736,0.07029634734665749,2.041946078716736
Peri Peri Paneer Pizza,Makhani Paneer Pizza,0.004784015759110736,0.13896457765667575,2.0419460787167356
Murgh Amritsari Seekh Pizza,All About Chicken Pizza,0.0059096665259603205,0.14928909952606637,1.9515590993226617
All About Chicken Pizza,Murgh Amritsari Seekh Pizza,0.0059096665259603205,0.07725321888412018,1.9515590993226617
Mushroom Pizza,Bageecha Pizza,0.005628253834247925,0.27972027972027974,1.913965367110425
Bageecha Pizza,Mushroom Pizza,0.005628253834247925,0.038510911424903725,1.9139653671104249
Chilli Cheese Garlic Bread,Bageecha Pizza,0.022653721682847898,0.2761578044596913,1.8895893930953396
Bageecha Pizza,Chilli Cheese Garlic Bread,0.022653721682847898,0.1550064184852375,1.8895893930953394
Murgh Amritsari Garlic Bread,All About Chicken Pizza,0.004643309413254538,0.14431486880466474,1.8865342230436892
All About Chicken Pizza,Murgh Amritsari Garlic Bread,0.004643309413254538,0.06069895769466586,1.8865342230436892
Margherita Pizza,Cheesy Garlic Bread,0.006097274987101918,0.09701492537313433,1.7908703237061445
Cheesy Garlic Bread,Margherita Pizza,0.006097274987101918,0.11255411255411253,1.7908703237061443
Masala Paneer Pide,Chilli Cheese Garlic Bread,0.004643309413254538,0.1466666666666667,1.7879245283018872
Chilli Cheese Garlic Bread,Masala Paneer Pide,0.004643309413254538,0.05660377358490567,1.7879245283018872
Animal Fries,Bone in Jamaican Grilled Chicken,0.004643309413254538,0.13432835820895525,1.7559870787082374
Bone in Jamaican Grilled Chicken,Animal Fries,0.004643309413254538,0.06069895769466586,1.7559870787082372
Makhani Paneer Pizza,Bageecha Pizza,0.017400684770883166,0.25568573397656785,1.7495107619109125
Bageecha Pizza,Makhani Paneer Pizza,0.017400684770883166,0.11906290115532733,1.7495107619109125
All About Chicken Pizza,Just Pepperoni Pizza,0.0031893438394071574,0.04169221336603311,1.6522670653851153
Just Pepperoni Pizza,All About Chicken Pizza,0.0031893438394071574,0.12639405204460966,1.652267065385115
Chilli Cheese Garlic Bread,Peri Peri Crisper Fries,0.0031893438394071574,0.03887935963407661,1.6414788648676186
Peri Peri Crisper Fries,Chilli Cheese Garlic Bread,0.0031893438394071574,0.13465346534653463,1.6414788648676186
Herbed Potato,Bageecha Pizza,0.009896346325219267,0.23977272727272725,1.6406271881199672
Bageecha Pizza,Herbed Potato,0.009896346325219267,0.0677150192554557,1.6406271881199672
Chilli Cheese Garlic Bread,Makhani Paneer Pizza,0.008911401904225881,0.10863350485991996,1.5962611696198163
Makhani Paneer Pizza,Chilli Cheese Garlic Bread,0.008911401904225881,0.13094417643004824,1.5962611696198161
Herbed Potato,Chilli Cheese Garlic Bread,0.005393743257820928,0.1306818181818182,1.593062919070638
Chilli Cheese Garlic Bread,Herbed Potato,0.005393743257820928,0.0657518582046884,1.593062919070638
Makhani Paneer Pizza,Cheesy Garlic Bread,0.0058627644106749215,0.0861474844934528,1.5902601877791405
Cheesy Garlic Bread,Makhani Paneer Pizza,0.0058627644106749215,0.10822510822510822,1.5902601877791402
Peri Peri Paneer Pizza,Bageecha Pizza,0.0072698278692369025,0.21117166212534058,1.4449265109673899
Bageecha Pizza,Peri Peri Paneer Pizza,0.0072698278692369025,0.04974326059050064,1.4449265109673897
Chilli Cheese Garlic Bread,Peri Peri Paneer Pizza,0.003892875568688148,0.04745568896512293,1.3784778534405804
Peri Peri Paneer Pizza,Chilli Cheese Garlic Bread,0.003892875568688148,0.11307901907356947,1.3784778534405802
Tripple Cheese Pizza,Cheesy Garlic Bread,0.0030955396088363585,0.07252747252747253,1.3388383045525902
Cheesy Garlic Bread,Tripple Cheese Pizza,0.0030955396088363585,0.05714285714285714,1.3388383045525902
Cheesy Garlic Bread,Bageecha Pizza,0.009990150555790066,0.1844155844155844,1.2618500241735158
Bageecha Pizza,Cheesy Garlic Bread,0.009990150555790066,0.0683568677792041,1.2618500241735158
Cheesy Garlic Bread,Jamaican Chicken Melt,0.003236245954692557,0.05974025974025974,1.1095140051586045
Jamaican Chicken Melt,Cheesy Garlic Bread,0.003236245954692557,0.060104529616724744,1.1095140051586045
Chilli Cheese Garlic Bread,Cheesy Garlic Bread,0.004737113643825336,0.057747284162378495,1.0659998663429193
Cheesy Garlic Bread,Chilli Cheese Garlic Bread,0.004737113643825336,0.08744588744588742,1.0659998663429193
Chilli Cheese Garlic Bread,Margherita Pizza,0.005393743257820928,0.0657518582046884,1.046190573718031
Margherita Pizza,Chilli Cheese Garlic Bread,0.005393743257820928,0.08582089552238807,1.0461905737180308
