user_id,total_orders,total_spending,avg_order_value,total_items,first_order_date,last_order_date,recency_days,order_frequency,age,gender,occupation,monthly_income,family_size,segment
1,2,1672,836.0,5,2017-12-12,2018-11-14,591,0.0059347181008902,20,Female,Student,No Income,4,Regular
2,3,4061,1353.6666666666667,7,2018-02-13,2018-08-03,694,0.0175438596491228,24,Female,Student,Below Rs.10000,3,Regular
3,1,21542,21542.0,500,2019-05-15,2019-05-15,409,1.0,22,Male,Student,Below Rs.10000,3,Occasional
4,1,102,102.0,1,2019-02-06,2019-02-06,507,1.0,22,Female,Student,No Income,6,At-risk
5,2,52047,26023.5,50,2018-03-02,2018-07-25,703,0.0137931034482758,22,Male,Student,Below Rs.10000,4,High-value
6,1,83,83.0,1,2018-10-12,2018-10-12,624,1.0,27,Female,Employee,More than 50000,2,At-risk
8,1,241,241.0,1,2019-06-21,2019-06-21,372,1.0,24,Female,Student,No Income,3,At-risk
9,3,7940,2646.6666666666665,10,2018-10-30,2019-11-07,233,0.0080428954423592,23,Female,Student,No Income,2,High-value
10,1,2296,2296.0,2,2019-05-07,2019-05-07,417,1.0,23,Female,Student,No Income,4,Occasional
13,3,3819,1273.0,27,2018-04-17,2020-01-31,148,0.0045871559633027,23,Male,Student,No Income,5,Regular
14,1,20713,20713.0,13,2018-07-31,2018-07-31,697,1.0,21,Male,Student,No Income,4,Occasional
15,2,1931,965.5,7,2019-06-18,2019-08-21,311,0.03125,23,Female,Self Employeed,10001 to 25000,5,Regular
16,1,28269,28269.0,13,2018-01-09,2018-01-09,900,1.0,24,Female,Student,No Income,6,Occasional
17,1,940,940.0,2,2018-07-30,2018-07-30,698,1.0,28,Female,Employee,25001 to 50000,2,At-risk
18,2,18102,9051.0,8,2017-12-05,2018-03-26,824,0.018018018018018,23,Female,Student,No Income,3,High-value
19,1,19690,19690.0,13,2017-10-12,2017-10-12,989,1.0,25,Male,Student,No Income,4,Occasional
